iterations,rep,rep_instance,fitness,kry_3,kry_4,kry_5
800,2,8,21459.35,9329,280135,9329
800,2,9,20461.14,8825,281114,8825
800,3,0,19042.97,8305,243297,8305
800,3,1,19314.68,8350,261468,8350
800,3,2,18722.62,8067,258862,8067
800,3,3,19683.5,8574,253550,8574
800,3,4,18643.82,8063,251782,8063
800,3,5,19695.72,8524,264772,8524
800,3,6,18897.62,8236,242562,8236
800,3,7,19577.23,8421,273523,8421
800,3,8,19566.9,8571,242490,8571
800,3,9,20367.85,8881,260585,8881
800,4,0,18929.45,8069,279145,8069
800,4,1,20162.16,8676,281016,8676
800,4,2,21339.45,9309,272145,9309
800,4,3,19173.84,8147,287984,8147
800,4,4,19825.63,8509,280763,8509
800,4,5,20772.41,8994,278441,8994
800,4,6,21205.48,9170,286548,9170
800,4,7,20014.489999999998,8682,265049,8682
800,4,8,20259.78,8845,256978,8845
800,4,9,20744.87,9006,273287,9006
800,5,0,21361.89,9414,253389,9414
800,5,1,21000.38,9136,272838,9136
800,5,2,21071.95,9226,261995,9226
800,5,3,21470.14,9382,270614,9382
800,5,4,21690.98,9362,296698,9362
800,5,5,21773.93,9590,259393,9590
800,5,6,18960.760000000002,8075,281076,8075
800,5,7,20525.58,8796,293358,8796
800,5,8,20354.15,8799,275615,8799
800,5,9,21656.11,9370,291611,9370
800,6,0,21639.14,9472,269514,9472
800,6,1,20775.059999999998,9041,269306,9041
800,6,2,19760.05,8538,268405,8538
800,6,3,20311.66,8691,292966,8691
800,6,4,21480.37,9323,283437,9323
800,6,5,20747.489999999998,8981,278549,8981
800,6,6,22040.13,9663,271413,9663
800,6,7,21088.75,9132,282475,9132
800,6,8,20499.5,8861,277750,8861
800,6,9,21898.82,9560,277882,9560
800,7,0,19302.35,8318,266635,8318
800,7,1,19322.59,8409,250459,8409
800,7,2,19852.39,8489,287439,8489
800,7,3,19681.989999999998,8484,271399,8484
800,7,4,20758.59,9020,271859,9020
800,7,5,18981.14,8257,246714,8257
800,7,6,21527.0,9393,274100,9393
800,7,7,19824.2,8604,261620,8604
800,7,8,19901.02,8617,266702,8617
800,7,9,18009.13,7752,250513,7752
800,8,0,20993.37,9111,277137,9111
800,8,1,21760.25,9516,272825,9516
800,8,2,22241.23,9559,312323,9559
800,8,3,20811.96,8950,291196,8950
800,8,4,21614.98,9443,272898,9443
800,8,5,20972.809999999998,9012,294881,9012
800,8,6,21156.11,9124,290811,9124
800,8,7,20900.309999999998,9060,278031,9060
800,8,8,21788.21,9450,288821,9450
800,8,9,21502.190000000002,9188,312619,9188
800,9,0,19970.79,8718,253479,8718
800,9,1,20518.2,9008,250220,9008
800,9,2,19927.85,8739,244985,8739
800,9,3,18482.86,7912,265886,7912
